79,ALUE BULOH SATU,SIMPANG ULIM,ACEH TIMUR,11,24458
80,ALUE BULOH,SEUNAGAN,NAGAN RAYA,11,23671
81,ALUE BULOH / BALOH,BIREM BAYEUN,ACEH TIMUR,11,24452
82,ALUE BUMAN,NIBONG,ACEH UTARA,11,24385
83,ALUE BUNGKOH,PIRAK TIMUR,ACEH UTARA,11,24386
84,ALUE BUYA PASI,JANGKA,BIREUEN,11,24261
85,ALUE BUYA,BAKTIYA,ACEH UTARA,11,24392
86,ALUE BUYA,JANGKA,BIREUEN,11,24261
87,ALUE CALONG,TANGSE,PIDIE,11,24166
88,ALUE CAMPLI,SEUNUDDON (SEUNUDON),ACEH UTARA,11,24393
89,ALUE CANANG,BIREM BAYEUN,ACEH TIMUR,11,24452
90,ALUE CANTEK,BENDAHARA,ACEH TAMIANG,11,24472
91,ALUE CEK DOI,JULOK,ACEH TIMUR,11,24457
92,ALUE DALAM,DARUL AMAN,ACEH TIMUR,11,24455
93,ALUE DAMA,BAKTIYA,ACEH UTARA,11,24392
94,ALUE DAMA,SETIA,ACEH BARAT DAYA,11,23763
95,ALUE DEAH TEUNGOH (ALUE DEYAH TENGOH),MEURAXA,BANDA ACEH,11,23232
96,ALUE DODOK,SEUNAGAN,NAGAN RAYA,11,23671
97,ALUE DRIEN LS,COT GIREK,ACEH UTARA,11,24352
98,ALUE DRIEN,BIREM BAYEUN,ACEH TIMUR,11,24452
99,ALUE DUA BAKARAN BATE,LANGSA BARO,LANGSA,11,24415
100,ALUE DUA MUKA O,IDI RAYEUK,ACEH TIMUR,11,24454
101,ALUE DUA MUKA S,IDI RAYEUK,ACEH TIMUR,11,24454
102,ALUE DUA PAYA GAJAH,PEUREULAK,ACEH TIMUR,11,24453
103,ALUE DUA,LANGKAHAN,ACEH UTARA,11,24394
104,ALUE DUA,LANGSA BARO,LANGSA,11,24415
105,ALUE DUA,MAKMUR,BIREUEN,11,24357
106,ALUE DUA,RANTO PEUREULAK,ACEH TIMUR,11,24453
107,ALUE EMPEUK,WOYLA TIMUR,ACEH BARAT,11,23682
108,ALUE ENTOK,MATANGKULI,ACEH UTARA,11,24386
109,ALUE EUMPOK,LHOKSUKON,ACEH UTARA,11,24382
110,ALUE GADENG DUA,BIREM BAYEUN,ACEH TIMUR,11,24452
111,ALUE GADENG SATU,BIREM BAYEUN,ACEH TIMUR,11,24452
112,ALUE GADENG,BIREM BAYEUN,ACEH TIMUR,11,24452
113,ALUE GADENG,DARUL AMAN,ACEH TIMUR,11,24455
114,ALUE GAJAH,DARUL HIKMAH,ACEH JAYA,11,23656
115,ALUE GAJAH,SUKA MAKMUE,NAGAN RAYA,11,23671
116,ALUE GAJAH,TADU RAYA,NAGAN RAYA,11,23661
117,ALUE GAMPONG,TANAH LUAS,ACEH UTARA,11,24385
118,ALUE GANDAI,PEUDADA,BIREUEN,11,24262
119,ALUE GEUDONG,BAKTIYA,ACEH UTARA,11,24392
120,ALUE GEUNTENG,RANTO PEUREULAK,ACEH TIMUR,11,24453
121,ALUE GEUTAH,DARUL MAKMUR,NAGAN RAYA,11,23662
122,ALUE GINTONG,SEULIMEUM,ACEH BESAR,11,23951
123,ALUE GLUMPANG BA,PEUSANGAN,BIREUEN,11,24261
124,ALUE GLUMPANG SBL.K,PEUSANGAN SIBLAH KRUENG,BIREUEN,11,24261
125,ALUE GRO,SAMPOINIET,ACEH JAYA,11,23656
126,ALUE GUNTO,SYAMTALIRA ARON,ACEH UTARA,11,24381
127,ALUE GUREP,PEUREULAK TIMUR,ACEH TIMUR,11,24453
128,ALUE IE ITAM,INDRA MAKMUR,ACEH TIMUR,11,24457
129,ALUE IE ITAM,PEUDAWA,ACEH TIMUR,11,24454
130,ALUE IE MAMEH,KUALA,NAGAN RAYA,11,23661
131,ALUE IE MIRAH,INDRA MAKMUR,ACEH TIMUR,11,24457
132,ALUE IE MIRAH,NIBONG,ACEH UTARA,11,24385
133,ALUE IE MIRAH,PANTE BIDARI (BEUDARI),ACEH TIMUR,11,24458
134,ALUE IE MIRAH,TANAH JAMBO AYE,ACEH UTARA,11,24394
135,ALUE IE PUTEH,MANYAK PAYED,ACEH TAMIANG,11,24471
136,ALUE IE TAREK,BAKTIYA,ACEH UTARA,11,24392
137,ALUE IET,PEUSANGAN SIBLAH KRUENG,BIREUEN,11,24261
138,ALUE IGEUEH,PANDRAH,BIREUEN,11,24263
139,ALUE ITAM BAROH,LHOKSUKON,ACEH UTARA,11,24382
140,ALUE ITAM REUDEUP,LHOKSUKON,ACEH UTARA,11,24382
141,ALUE ITAM,SUNGAI RAYA,ACEH TIMUR,11,24458
142,ALUE JAMBOK,BAKTIYA,ACEH UTARA,11,24392
143,ALUE JAMPAK,DARUL MAKMUR,NAGAN RAYA,11,23662
144,ALUE JANG,PASIE RAYA,ACEH JAYA,11,23653
145,ALUE JANGAT,DARUL IKSAN (IHSAN),ACEH TIMUR,11,24455
146,ALUE JEUREUJAK (JERJAK),BABAH ROT,ACEH BARAT DAYA,11,23767
147,ALUE KAMBUK / KAMBUEK,SUKA MAKMUE,NAGAN RAYA,11,23671
148,ALUE KAUL / KAOL,RANTAU SELAMAT,ACEH TIMUR,11,24452
149,ALUE KEUJRUEN,TANAH LUAS,ACEH UTARA,11,24385
150,ALUE KEUMANG,PANTE CEUREUMEN (PANTAI CEUREMEN),ACEH BARAT,11,23681
151,ALUE KEUMIKI,ULIM,PIDIE JAYA,11,24187
152,ALUE KEUMUNENG,WOYLA BARAT,ACEH BARAT,11,23682
153,ALUE KEUPULA (KUPULA),PEUSANGAN SIBLAH KRUENG,BIREUEN,11,24261
154,ALUE KEUREUNYAI,BANDA BARO,ACEH UTARA,11,24376
155,ALUE KEUTAPANG,BAKTIYA,ACEH UTARA,11,24392
156,ALUE KEUTAPANG,BANDAR DUA,PIDIE JAYA,11,24188
157,ALUE KEUTAPANG,PEUDADA,BIREUEN,11,24262
158,ALUE KIRAN,SEUNUDDON (SEUNUDON),ACEH UTARA,11,24393
159,ALUE KRAK KAYEE,LANGKAHAN,ACEH UTARA,11,24394
160,ALUE KRUEB,PEUSANGAN SIBLAH KRUENG,BIREUEN,11,24261
161,ALUE KRUENG,PASIE RAYA,ACEH JAYA,11,23653
162,ALUE KUMBA,RANTAU SELAMAT,ACEH TIMUR,11,24452
163,ALUE KUMBANG A,IDI TUNONG,ACEH TIMUR,11,24454
164,ALUE KUMBANG M,IDI TUNONG,ACEH TIMUR,11,24454
165,ALUE KUTA,JANGKA,BIREUEN,11,24261
166,ALUE KUYUEN,WOYLA TIMUR,ACEH BARAT,11,23682
167,ALUE KUYUN,DARUL MAKMUR,NAGAN RAYA,11,23662
168,ALUE LABUE,TADU RAYA,NAGAN RAYA,11,23661
169,ALUE LADA,BATEE,PIDIE,11,24152
170,ALUE LAMSABA,JEUNIEB,BIREUEN,11,24263
171,ALUE LEUHOB,COT GIREK,ACEH UTARA,11,24352
172,ALUE LEUHOB,SIMPANG MAMPLAM,BIREUEN,11,24251
173,ALUE LEUHOB,WOYLA BARAT,ACEH BARAT,11,23682
174,ALUE LHEE,KAWAY XVI,ACEH BARAT,11,23681
175,ALUE LHOK,BUBON,ACEH BARAT,11,23652
176,ALUE LHOK,IDI TUNONG,ACEH TIMUR,11,24454
177,ALUE LHOK,KAWAY XVI,ACEH BARAT,11,23681
178,ALUE LIM,BLANG MANGAT,LHOKSEUMAWE,11,24375
179,ALUE LIMENG,JEUMPA,BIREUEN,11,24251
180,ALUE MAJRON,SYAMTALIRA BAYU,ACEH UTARA,11,24373
181,ALUE MANGGOTA (ALUM ANGGOTA),BLANG PIDIE,ACEH BARAT DAYA,11,23764
182,ALUE MANGKI,GANDA PURA,BIREUEN,11,24356
183,ALUE ME,BANDAR DUA,PIDIE JAYA,11,24188
184,ALUE MERBAU,LANGSA TIMUR,LANGSA,11,24411
185,ALUE MEUDEM (MUDEM),LHOKSUKON,ACEH UTARA,11,24382
186,ALUE MEUGANDA,WOYLA TIMUR,ACEH BARAT,11,23682
187,ALUE MEURAKSA  /  MEURASA,TEUNOM,ACEH JAYA,11,23653
188,ALUE MEUTUAH,MEUKEK,ACEH SELATAN,11,23754
189,ALUE MIE,INDRA JAYA,ACEH JAYA,11,23657
190,ALUE MULIENG,SIMPANG ULIM,ACEH TIMUR,11,24458
191,ALUE NAGA,SYIAH KUALA,BANDA ACEH,11,23116
192,ALUE NGOM,NIBONG,ACEH UTARA,11,24385
193,ALUE NIBONG,PEUREULAK,ACEH TIMUR,11,24453
194,ALUE NYAMUK,BIREM BAYEUN,ACEH TIMUR,11,24452
195,ALUE ON,KAWAY XVI,ACEH BARAT,11,23681
196,ALUE PADEE,KUALA BATEE,ACEH BARAT DAYA,11,23766
197,ALUE PANAH,NIBONG,ACEH UTARA,11,24385
198,ALUE PANDE,KEUDE PANGA,ACEH JAYA,11,23653
199,ALUE PANGKAT,TANAH LUAS,ACEH UTARA,11,24385
200,ALUE PANYANG,WOYLA,ACEH BARAT,11,23654
201,ALUE PAPEUN,TANAH JAMBO AYE,ACEH UTARA,11,24394
202,ALUE PATONG,INDRA MAKMUR,ACEH TIMUR,11,24457
203,ALUE PERMAN,WOYLA BARAT,ACEH BARAT,11,23682
204,ALUE PEUDEUNG,KAWAY XVI,ACEH BARAT,11,23681
205,ALUE PEUNAWA,BABAH ROT,ACEH BARAT DAYA,11,23767
206,ALUE PEUNO,PEUSANGAN,BIREUEN,11,24261
207,ALUE PEUSAJA,SUKA MAKMUE,NAGAN RAYA,11,23671
208,ALUE PINEUNG TIMUE,LANGSA TIMUR,LANGSA,11,24411
209,ALUE PINEUNG,LANGSA TIMUR,LANGSA,11,24411
210,ALUE PISANG,KUALA BATEE,ACEH BARAT DAYA,11,23766
211,ALUE PUNTI,PASIE RAYA,ACEH JAYA,11,23653
212,ALUE PUNTI,RANTAU SELAMAT,ACEH TIMUR,11,24452
213,ALUE RAMBE,KUTA MAKMUR,ACEH UTARA,11,24371
214,ALUE RAMBONG,BAKTIYA,ACEH UTARA,11,24392
215,ALUE RAMBONG,PEUREULAK,ACEH TIMUR,11,24453
216,ALUE RAMBOT,DARUL MAKMUR,NAGAN RAYA,11,23662
217,ALUE RAMBOT,JEUMPA,ACEH BARAT DAYA,11,23764
218,ALUE RAMBOT,MANGGENG,ACEH BARAT DAYA,11,23762
